,sample_id,grn_n,grn_mean,grn_sd,red_n,red_mean,red_sd
91379,19690510,12,12641,1205,12,5960,906
91381,19691305,5,2203,466,5,7626,1855
91393,19691374,12,209,192,12,1564,842
91400,19691412,15,10107,786,15,1673,671
91404,19691418,17,9979,1046,17,5387,692
91408,19691423,14,10562,900,14,1885,852
91445,19692370,11,12442,958,11,3717,719
91447,19692402,11,2913,349,11,824,592
91456,19692416,10,802,329,10,19006,1974
91466,19692448,11,17355,1226,11,2001,658
91469,19692474,10,3278,859,10,11387,1873
91470,19692476,13,2419,477,13,27815,1594
91488,19693366,13,201,151,13,834,300
91513,19693482,14,14094,1778,14,2415,790
91522,19694321,11,18211,1354,11,1990,614
91537,19694405,19,624,269,19,14397,1929
91549,19694464,12,13288,864,12,2508,400
91551,19694476,19,1070,444,19,13102,1880
91564,19695309,17,2205,399,17,20158,2299
91574,19695374,10,4617,900,10,696,425
91576,19695379,12,679,435,12,5000,1211
91596,19695446,8,14902,366,8,3789,1036
91605,19695481,6,16060,992,6,10284,676
91608,19695484,13,290,129,13,436,364
91623,19696331,11,1165,408,11,15868,2251
91628,19696371,7,7192,1199,7,563,197
91641,19696423,16,8363,938,16,1040,615
91647,19696431,14,7305,1158,14,1375,526
91695,19697455,8,12693,745,8,2856,831
91709,19698309,8,2541,382,8,37344,3196
91710,19698316,11,10418,759,11,1686,616
91731,19698424,10,4872,654,10,1089,318
91736,19698433,15,12939,734,15,16535,1614
91739,19698441,13,318,235,13,7992,1621
91792,19699432,11,193,137,11,396,259
91800,19699455,14,14759,1349,14,2142,775
91810,19699499,8,21852,2049,8,2306,346
91811,19699501,11,415,338,11,1940,831
91816,19700303,11,18596,2004,11,6210,916
91822,19700337,12,1099,440,12,7961,1496
91831,19700375,9,18852,1612,9,5566,1296
91833,19700384,19,1137,431,19,21817,1732
91855,19701326,12,9769,832,12,5523,966
91858,19701340,19,13496,1142,19,1707,836
91871,19701387,12,5934,608,12,2196,1095
91872,19701389,9,7025,491,9,1391,657
91881,19701454,10,17230,1775,10,1392,387
91887,19701490,12,9938,745,12,2381,957
91891,19701503,15,1124,226,15,23656,2126
91904,19702340,14,688,222,14,21614,2326
91912,19702377,9,226,124,9,534,384
91914,19702385,16,510,319,16,14668,1242
91915,19702386,6,11893,433,6,17320,1639
91917,19702394,17,9150,1382,17,7473,1088
91926,19702490,19,1223,395,19,4020,818
91928,19702500,6,116,72,6,1584,315
91953,19703382,12,507,226,12,3141,955
91972,19704302,11,1707,515,11,24161,3142
91974,19704308,20,486,208,20,17317,2216
91995,19704372,14,7556,1638,14,1429,383
92001,19704384,10,270,211,10,812,402
92007,19704397,10,5183,619,10,1309,509
92011,19704453,14,1012,428,14,607,347
92013,19704460,18,2888,686,18,34355,2538
92020,19704487,15,295,166,15,896,485
92023,19704492,13,2473,630,13,23992,2556
92029,19705307,9,7900,1061,9,16602,1034
92031,19705317,18,21005,1465,18,3237,675
92034,19705325,13,2115,595,13,7244,1350
92084,19706340,18,2170,227,18,27866,2571
92089,19706355,12,1321,432,12,19625,1304
92095,19706383,15,15810,1783,15,3443,706
92116,19706509,9,11591,1170,9,1504,323
92129,19707341,17,818,310,17,10695,1714
92134,19707361,11,5221,830,11,1243,603
92144,19707393,10,6749,553,10,810,462
92157,19707467,15,11811,877,15,22457,1619
92163,19707507,15,1337,455,15,8598,1885
92165,19708300,8,229,174,8,1418,594
92166,19708302,18,771,382,18,719,529
92171,19708314,12,527,260,12,686,494
92177,19708327,13,654,204,13,21861,2407
92183,19708354,17,7857,1001,17,6895,1220
92199,19708389,10,2326,358,10,6209,1114
92202,19708438,10,7353,952,10,9931,1585
92207,19708460,16,319,159,16,1331,538
92213,19708487,11,10162,1663,11,1402,606
92219,19708503,9,9231,801,9,5666,793
92234,19709344,7,9138,911,7,1416,900
92238,19709361,12,1509,488,12,21635,1557
